occ_code,title,ai_exposure,automation_exposure,augmentation_exposure,theoretical_exposure,theoretical_exposure_conservative,automation_share,augmentation_share,classified_task_n,soc_major,soc_major_label,exposure_q,high_exposure
11-9131,Postmasters and Mail Superintendents,0.0,0.0,0.0,0.9047619047619048,0.5238095238095237,0.3947368421052631,0.605263157894737,1.0,11,Management,Q0 (none),0
11-9141,"Property, Real Estate, and Community Association Managers",0.1653,0.0748011508661137,0.0904988491338863,0.8863636363636364,0.4431818181818182,0.4525175490992965,0.5474824509007036,7.0,11,Management,Q3,1
11-9151,Social and Community Service Managers,0.1808,0.0486865754511203,0.1321134245488796,0.7142857142857142,0.3928571428571428,0.2692841562561967,0.7307158437438033,2.0,11,Management,Q3,1
11-9161,Emergency Management Directors,0.0,0.0,0.0,0.8444444444444444,0.4222222222222222,,,2.0,11,Management,Q0 (none),0
11-9171,Funeral Home Managers,0.0108,0.004518978893068,0.0062810211069319,0.7142857142857142,0.4285714285714285,0.4184239715803776,0.5815760284196224,6.0,11,Management,Q1 (low),0
11-9179,"Personal Service Managers, All Other",0.1244,0.0457647394713936,0.0786352605286063,0.7417184265010353,0.4521221532091096,0.3678837578086309,0.6321162421913691,36.0,11,Management,Q3,1
11-9199,"Managers, All Other",0.0686,0.025236825785672,0.0433631742143279,0.91125694749159,0.4912673640410586,0.3678837578086309,0.6321162421913691,36.0,11,Management,Q2,0
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.118,0.0427892588738923,0.0752107411261076,0.9130434782608696,0.5434782608695652,0.3626208379143418,0.6373791620856581,6.0,13,Business & Financial Operations,Q3,1
13-1031,"Claims Adjusters, Examiners, and Investigators",0.0818,,,0.96,0.52,,,3.0,13,Business & Financial Operations,Q2,0
13-1032,"Insurance Appraisers, Auto Damage",0.0,0.0,0.0,1.0,0.5,,,1.0,13,Business & Financial Operations,Q0 (none),0
13-1041,Compliance Officers,0.1211,0.0397990137519605,0.0813009862480395,0.8183125008857741,0.5263042749310427,0.3286458608749835,0.6713541391250165,19.0,13,Business & Financial Operations,Q3,1
13-1051,Cost Estimators,0.0,0.0,0.0,1.0,0.5,,,3.0,13,Business & Financial Operations,Q0 (none),0
13-1071,Human Resources Specialists,0.4034,0.1929975906813565,0.2104024093186434,0.9555555555555556,0.6444444444444445,0.4784273442770366,0.5215726557229634,15.0,13,Business & Financial Operations,Q4 (high),1
13-1074,Farm Labor Contractors,0.0,0.0,0.0,0.2857142857142857,0.1428571428571428,,,,13,Business & Financial Operations,Q0 (none),0
13-1075,Labor Relations Specialists,0.0,0.0,0.0,0.9245283018867924,0.5471698113207547,,,5.0,13,Business & Financial Operations,Q0 (none),0
13-1081,Logisticians,0.1571,0.064072841818019,0.0930271581819809,0.9696969696969696,0.5278605318327264,0.4078474972502802,0.5921525027497198,27.0,13,Business & Financial Operations,Q3,1
13-1111,Management Analysts,0.2435,0.101268691588785,0.1422313084112149,0.7142857142857142,0.4047619047619047,0.4158878504672897,0.5841121495327103,5.0,13,Business & Financial Operations,Q3,1
13-1121,"Meeting, Convention, and Event Planners",0.1023,0.0425653846153846,0.0597346153846153,0.8648648648648649,0.4864864864864865,0.4160839160839161,0.5839160839160839,4.0,13,Business & Financial Operations,Q2,1
13-1131,Fundraisers,0.0466,0.0163629632569495,0.0302370367430504,0.8846153846153847,0.5192307692307693,0.3511365505783168,0.6488634494216832,8.0,13,Business & Financial Operations,Q1 (low),0
13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.0649,0.0292186330133053,0.0356813669866946,0.8684210526315789,0.4736842105263157,0.4502100618382953,0.5497899381617046,5.0,13,Business & Financial Operations,Q2,0
13-1151,Training and Development Specialists,0.2793,0.1121537886329015,0.1671462113670984,1.0,0.5526315789473684,0.401553127937349,0.598446872062651,3.0,13,Business & Financial Operations,Q4 (high),1
13-1161,Market Research Analysts and Marketing Specialists,0.6483,0.2794565108441589,0.3688434891558411,1.0,0.5245901639344263,0.4310604825607881,0.5689395174392119,8.0,13,Business & Financial Operations,Q4 (high),1
13-1199,"Business Operations Specialists, All Other",0.1846,0.0785499753007353,0.1060500246992646,0.9415292353823088,0.5828407660281357,0.4255144924200182,0.5744855075799817,44.0,13,Business & Financial Operations,Q3,1
13-2011,Accountants and Auditors,0.3478,0.1543751744925376,0.1934248255074623,1.0,0.56,0.4438619163097689,0.5561380836902311,7.0,13,Business & Financial Operations,Q4 (high),1
13-2031,Budget Analysts,0.0672,0.0,0.0672,0.96,0.52,0.0,1.0,6.0,13,Business & Financial Operations,Q2,0
13-2041,Credit Analysts,0.1685,,,1.0,0.5555555555555556,,,2.0,13,Business & Financial Operations,Q3,1
13-2051,Financial and Investment Analysts,0.5716,0.1793771272377523,0.3922228727622476,0.9230769230769232,0.4615384615384615,0.3138158279176913,0.6861841720823086,8.0,13,Business & Financial Operations,Q4 (high),1
13-2052,Personal Financial Advisors,0.3504,0.0975798653683619,0.252820134631638,0.9473684210526316,0.5,0.2784813509371061,0.7215186490628939,11.0,13,Business & Financial Operations,Q4 (high),1
13-2053,Insurance Underwriters,0.0625,0.0625,0.0,1.0,0.5714285714285714,1.0,0.0,1.0,13,Business & Financial Operations,Q2,0
13-2054,Financial Risk Specialists,0.2649,0.1090975782655125,0.1558024217344875,1.0,0.5333333333333333,0.4118443875632787,0.5881556124367213,37.0,13,Business & Financial Operations,Q4 (high),1
13-2061,Financial Examiners,0.0428,0.0124453900709219,0.030354609929078,0.9393939393939394,0.5,0.2907801418439716,0.7092198581560284,2.0,13,Business & Financial Operations,Q1 (low),0
13-2071,Credit Counselors,0.2341,0.0563665128415773,0.1777334871584226,0.9772727272727272,0.625,0.2407796362305738,0.7592203637694261,13.0,13,Business & Financial Operations,Q3,1
13-2072,Loan Officers,0.1857,0.0532138247370015,0.1324861752629984,0.9772727272727272,0.5909090909090909,0.2865580222778759,0.7134419777221243,4.0,13,Business & Financial Operations,Q3,1
13-2081,"Tax Examiners and Collectors, and Revenue Agents",0.0275,0.0026570048309178,0.0248429951690821,0.967741935483871,0.5806451612903225,0.0966183574879226,0.9033816425120774,3.0,13,Business & Financial Operations,Q1 (low),0
13-2082,Tax Preparers,0.1283,0.0128125024420663,0.1154874975579336,1.0,0.625,0.0998636199693402,0.9001363800306598,5.0,13,Business & Financial Operations,Q3,1
13-2099,"Financial Specialists, All Other",0.2202,0.1024646743570627,0.1177353256429373,0.931818181818182,0.5832309582309583,0.4653254966260795,0.5346745033739205,29.0,13,Business & Financial Operations,Q3,1
15-1211,Computer Systems Analysts,0.2763,0.0908701998302883,0.1854298001697116,0.9407308377896612,0.6174242424242424,0.3288823736166787,0.6711176263833212,16.0,15,Computer & Mathematical,Q4 (high),1
15-1212,Information Security Analysts,0.4859,0.1611132229514374,0.3247867770485625,0.9565217391304348,0.6521739130434783,0.3315769149031434,0.6684230850968564,8.0,15,Computer & Mathematical,Q4 (high),1
15-1221,Computer and Information Research Scientists,0.3404,0.1014640616616361,0.2389359383383637,0.8846153846153847,0.6346153846153847,0.2980730366088019,0.701926963391198,9.0,15,Computer & Mathematical,Q4 (high),1
15-1231,Computer Network Support Specialists,0.2867,0.1042291316904168,0.1824708683095831,0.8076923076923077,0.6346153846153847,0.3635477212780498,0.6364522787219502,9.0,15,Computer & Mathematical,Q4 (high),1
15-1232,Computer User Support Specialists,0.4685,0.1643366093971129,0.3041633906028871,0.7777777777777777,0.611111111111111,0.3507718450311908,0.6492281549688091,8.0,15,Computer & Mathematical,Q4 (high),1
15-1241,Computer Network Architects,0.1987,0.0539438110693035,0.1447561889306964,0.915558510638298,0.6352227393617021,0.2714836993925693,0.7285163006074307,26.0,15,Computer & Mathematical,Q3,1
15-1242,Database Administrators,0.3315,0.1889886652908421,0.1425113347091578,1.0,0.935483870967742,0.5701015544218466,0.4298984455781534,5.0,15,Computer & Mathematical,Q4 (high),1
15-1243,Database Architects,0.5787,0.2280579812446647,0.3506420187553352,1.0,0.9112466124661248,0.3940867137457486,0.6059132862542513,133.0,15,Computer & Mathematical,Q4 (high),1
15-1244,Network and Computer Systems Administrators,0.3373,0.1383321814619991,0.1989678185380008,0.918918918918919,0.7297297297297298,0.410116162057513,0.589883837942487,8.0,15,Computer & Mathematical,Q4 (high),1
15-1251,Computer Programmers,0.7451,0.343197849775733,0.401902150224267,1.0,0.95,0.4606064283663038,0.5393935716336962,11.0,15,Computer & Mathematical,Q4 (high),1
15-1252,Software Developers,0.288,0.1068071414268004,0.1811928585731995,0.9473684210526316,0.8684210526315789,0.3708581299541683,0.6291418700458318,8.0,15,Computer & Mathematical,Q4 (high),1
15-1253,Software Quality Assurance Analysts and Testers,0.5195,0.201485431592484,0.318014568407516,0.9473684210526316,0.8771929824561403,0.3878449116313456,0.6121550883686545,136.0,15,Computer & Mathematical,Q4 (high),1
15-1254,Web Developers,0.4802,0.1878704544947993,0.2923295455052007,1.0,0.9326923076923076,0.3912337661282785,0.6087662338717215,24.0,15,Computer & Mathematical,Q4 (high),1
15-1255,Web and Digital Interface Designers,0.249,0.0970096150314402,0.1519903849685597,1.0,0.75,0.3895968475158242,0.6104031524841758,150.0,15,Computer & Mathematical,Q3,1
15-1299,"Computer Occupations, All Other",0.3106,0.120917780921077,0.1896822190789229,0.994949494949495,0.7357861863332168,0.389303866455496,0.610696133544504,128.0,15,Computer & Mathematical,Q4 (high),1
15-2011,Actuaries,0.0539,0.0116502604166666,0.0422497395833333,1.0,0.5,0.2161458333333333,0.7838541666666666,4.0,15,Computer & Mathematical,Q2,0
15-2021,Mathematicians,0.4241,0.1659525285447315,0.2581474714552684,1.0,1.0,0.3913051840243611,0.6086948159756388,9.0,15,Computer & Mathematical,Q4 (high),1
15-2031,Operations Research Analysts,0.4288,0.1659894938803219,0.2628105061196781,1.0,0.6290322580645161,0.3871023644597058,0.6128976355402942,7.0,15,Computer & Mathematical,Q4 (high),1
15-2041,Statisticians,0.2107,0.0790560996281276,0.1316439003718724,1.0,0.7247368421052631,0.3752069275184035,0.6247930724815965,26.0,15,Computer & Mathematical,Q3,1
15-2051,Data Scientists,0.4605,,,1.0,0.6948232323232323,,,,15,Computer & Mathematical,Q4 (high),1
15-2099,"Mathematical Science Occupations, All Other",0.4793,,,0.9666666666666668,0.8666666666666667,,,,15,Computer & Mathematical,Q4 (high),1
17-1011,"Architects, Except Landscape and Naval",0.0784,0.0281019573200263,0.0502980426799736,0.9069767441860463,0.4883720930232558,0.3584433331636018,0.6415566668363981,9.0,17,Architecture & Engineering,Q2,0
17-1012,Landscape Architects,0.0,0.0,0.0,0.8421052631578947,0.4210526315789473,,,4.0,17,Architecture & Engineering,Q0 (none),0
17-1021,Cartographers and Photogrammetrists,0.08,0.0529032258064516,0.0270967741935483,1.0,0.52,0.6612903225806451,0.3387096774193547,3.0,17,Architecture & Engineering,Q2,0
17-1022,Surveyors,0.0022,0.00088,0.00132,0.8708333333333333,0.5100694444444445,0.3999999999999999,0.6,3.0,17,Architecture & Engineering,Q1 (low),0
17-2011,Aerospace Engineers,0.0753,0.03396992481203,0.0413300751879699,0.9285714285714284,0.5714285714285714,0.4511278195488721,0.5488721804511278,2.0,17,Architecture & Engineering,Q2,0
17-2021,Agricultural Engineers,0.0,0.0,0.0,0.7777777777777777,0.4259259259259259,,,2.0,17,Architecture & Engineering,Q0 (none),0
17-2031,Bioengineers and Biomedical Engineers,0.1328,0.0,0.1328,0.9487179487179488,0.5897435897435898,0.0,1.0,4.0,17,Architecture & Engineering,Q3,1
17-2041,Chemical Engineers,0.0,0.0,0.0,0.8461538461538463,0.4615384615384615,,,3.0,17,Architecture & Engineering,Q0 (none),0
17-2051,Civil Engineers,0.0081,,,0.9086580086580086,0.4821428571428571,,,9.0,17,Architecture & Engineering,Q1 (low),0
17-2061,Computer Hardware Engineers,0.1453,0.0554614524474474,0.0898385475525526,0.9090909090909092,0.7272727272727273,0.3817030450615787,0.6182969549384213,5.0,17,Architecture & Engineering,Q3,1
17-2071,Electrical Engineers,0.059,0.014206804081442,0.0447931959185579,0.84375,0.5625,0.2407932895159674,0.7592067104840325,9.0,17,Architecture & Engineering,Q2,0
17-2072,"Electronics Engineers, Except Computer",0.0999,0.0308334154698901,0.0690665845301098,0.8788515406162465,0.6200980392156863,0.3086427974963982,0.6913572025036019,13.0,17,Architecture & Engineering,Q2,1
17-2081,Environmental Engineers,0.0358,0.0173885714285714,0.0184114285714285,0.9814814814814814,0.5555555555555556,0.4857142857142857,0.5142857142857142,12.0,17,Architecture & Engineering,Q1 (low),0
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.0,0.0,0.0,0.91,0.5042307692307693,,,3.0,17,Architecture & Engineering,Q0 (none),0
17-2112,Industrial Engineers,0.0367,0.0123791386949304,0.0243208613050695,0.9249138804457954,0.554355036527489,0.3373062314694952,0.6626937685305048,7.0,17,Architecture & Engineering,Q1 (low),0
17-2121,Marine Engineers and Naval Architects,0.0358,0.0179,0.0179,0.7368421052631579,0.4210526315789473,0.5,0.5,5.0,17,Architecture & Engineering,Q1 (low),0
17-2131,Materials Engineers,0.0,0.0,0.0,0.8292682926829269,0.4878048780487805,,,,17,Architecture & Engineering,Q0 (none),0
17-2141,Mechanical Engineers,0.0813,0.0290935471588011,0.0522064528411988,0.8564037087703298,0.5312935096519228,0.3578542085953398,0.6421457914046601,12.0,17,Architecture & Engineering,Q2,0
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0.0,0.0,0.0,0.8518518518518519,0.4814814814814814,,,,17,Architecture & Engineering,Q0 (none),0
17-2161,Nuclear Engineers,0.0,0.0,0.0,0.8500000000000001,0.55,,,3.0,17,Architecture & Engineering,Q0 (none),0
17-2171,Petroleum Engineers,0.0,0.0,0.0,0.8888888888888888,0.5277777777777778,,,2.0,17,Architecture & Engineering,Q0 (none),0
17-2199,"Engineers, All Other",0.0659,0.0229971070533134,0.0429028929466865,0.8478464810043758,0.5226496200276688,0.3489697580168957,0.6510302419831042,58.0,17,Architecture & Engineering,Q2,0
17-3011,Architectural and Civil Drafters,0.0,0.0,0.0,0.96,0.54,,,4.0,17,Architecture & Engineering,Q0 (none),0
17-3012,Electrical and Electronics Drafters,0.0889,0.0570555597105261,0.0318444402894738,0.9574468085106382,0.5744680851063829,0.6417948223906208,0.3582051776093792,5.0,17,Architecture & Engineering,Q2,0
17-3013,Mechanical Drafters,0.0,0.0,0.0,0.9310344827586208,0.5,,,3.0,17,Architecture & Engineering,Q0 (none),0
17-3021,Aerospace Engineering and Operations Technologists and Technicians,0.0,0.0,0.0,0.55,0.325,,,,17,Architecture & Engineering,Q0 (none),0
17-3022,Civil Engineering Technologists and Technicians,0.0776,0.0344996264009962,0.0431003735990037,1.0,0.5909090909090909,0.4445828144458281,0.5554171855541717,3.0,17,Architecture & Engineering,Q2,0
17-3023,Electrical and Electronic Engineering Technologists and Technicians,0.0202,0.0069991228070175,0.0132008771929824,0.6226415094339622,0.4056603773584905,0.3464912280701754,0.6535087719298246,5.0,17,Architecture & Engineering,Q1 (low),0
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,0.0,0.0,0.0,0.5182926829268293,0.3873555840821566,,,8.0,17,Architecture & Engineering,Q0 (none),0
17-3025,Environmental Engineering Technologists and Technicians,0.1029,0.1029,0.0,0.7105263157894737,0.4078947368421052,1.0,0.0,3.0,17,Architecture & Engineering,Q2,1
17-3026,Industrial Engineering Technologists and Technicians,0.0,0.0,0.0,0.66548463356974,0.41903073286052,,,,17,Architecture & Engineering,Q0 (none),0
17-3027,Mechanical Engineering Technologists and Technicians,0.0683,0.024412642625573,0.0438873573744269,0.6479591836734693,0.3786848072562357,0.3574325421020947,0.6425674578979055,7.0,17,Architecture & Engineering,Q2,0
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",0.0,0.0,0.0,0.4819923371647509,0.2687739463601531,,,24.0,17,Architecture & Engineering,Q0 (none),0
17-3031,Surveying and Mapping Technicians,0.0,0.0,0.0,0.9148936170212766,0.5,,,1.0,17,Architecture & Engineering,Q0 (none),0
19-1011,Animal Scientists,0.0,0.0,0.0,0.9375,0.53125,,,4.0,19,"Life, Physical, & Social Science",Q0 (none),0
19-1012,Food Scientists and Technologists,0.0,0.0,0.0,0.6923076923076923,0.3461538461538461,,,5.0,19,"Life, Physical, & Social Science",Q0 (none),0
19-1013,Soil and Plant Scientists,0.0513,0.0023154872765481,0.0489845127234518,0.9782608695652174,0.4891304347826087,0.0451362042212119,0.954863795778788,6.0,19,"Life, Physical, & Social Science",Q2,0
19-1021,Biochemists and Biophysicists,0.0756,0.0189612288411298,0.0566387711588701,0.7727272727272727,0.4545454545454546,0.2508099053059503,0.7491900946940497,10.0,19,"Life, Physical, & Social Science",Q2,0
19-1022,Microbiologists,0.0969,0.0253785714285714,0.0715214285714285,0.7083333333333333,0.3958333333333333,0.2619047619047619,0.7380952380952381,4.0,19,"Life, Physical, & Social Science",Q2,1
19-1023,Zoologists and Wildlife Biologists,0.0606,0.0190158620689655,0.0415841379310344,0.8095238095238095,0.4523809523809523,0.3137931034482758,0.6862068965517242,4.0,19,"Life, Physical, & Social Science",Q2,0
19-1029,"Biological Scientists, All Other",0.2452,0.0942861910465695,0.1509138089534304,0.8458843548763805,0.5492120286984489,0.3845276959484892,0.6154723040515107,30.0,19,"Life, Physical, & Social Science",Q3,1
19-1031,Conservation Scientists,0.0,0.0,0.0,0.818275704005611,0.4394408823058358,,,5.0,19,"Life, Physical, & Social Science",Q0 (none),0
19-1032,Foresters,0.0,0.0,0.0,0.7352941176470588,0.3676470588235294,,,,19,"Life, Physical, & Social Science",Q0 (none),0
19-1041,Epidemiologists,0.0,0.0,0.0,0.8846153846153847,0.4423076923076923,0.0338409475465313,0.9661590524534688,5.0,19,"Life, Physical, & Social Science",Q0 (none),0
19-1042,"Medical Scientists, Except Epidemiologists",0.0381,0.0,0.0381,0.8636363636363636,0.5227272727272727,0.0,1.0,7.0,19,"Life, Physical, & Social Science",Q1 (low),0
19-2011,Astronomers,0.3849,0.1190398548376263,0.2658601451623736,0.8125,0.4375,0.3092747592559791,0.690725240744021,9.0,19,"Life, Physical, & Social Science",Q4 (high),1
19-2012,Physicists,0.2727,0.1373244044064284,0.1353755955935715,0.9545454545454546,0.75,0.5035731734742519,0.4964268265257481,3.0,19,"Life, Physical, & Social Science",Q4 (high),1
19-2021,Atmospheric and Space Scientists,0.038,0.0184242424242424,0.0195757575757575,0.9565217391304348,0.5652173913043478,0.4848484848484848,0.5151515151515151,10.0,19,"Life, Physical, & Social Science",Q1 (low),0
19-2031,Chemists,0.2614,0.0858149209301533,0.1755850790698467,0.68,0.38,0.3282896745606476,0.6717103254393524,7.0,19,"Life, Physical, & Social Science",Q4 (high),1
19-2032,Materials Scientists,0.1843,0.0578511082190629,0.126448891780937,0.8275862068965517,0.4827586206896551,0.3138964092190066,0.6861035907809934,5.0,19,"Life, Physical, & Social Science",Q3,1
19-2041,"Environmental Scientists and Specialists, Including Health",0.0548,0.0204201253692656,0.0343798746307343,0.9810659186535764,0.5217162952137376,0.3726300249865989,0.6273699750134012,19.0,19,"Life, Physical, & Social Science",Q2,0
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.043,0.0103741258741258,0.0326258741258741,0.8222222222222223,0.4666666666666667,0.2412587412587412,0.7587412587412588,5.0,19,"Life, Physical, & Social Science",Q1 (low),0
19-2043,Hydrologists,0.0748,0.0250973684210526,0.0497026315789473,0.875,0.5,0.3355263157894737,0.6644736842105263,5.0,19,"Life, Physical, & Social Science",Q2,0
19-2099,"Physical Scientists, All Other",0.0379,0.0262384615384615,0.0116615384615384,0.9130434782608696,0.4565217391304347,0.6923076923076924,0.3076923076923076,2.0,19,"Life, Physical, & Social Science",Q1 (low),0
19-3011,Economists,0.2418,0.0656747755761757,0.1761252244238242,1.0,0.5526315789473684,0.2716078394382785,0.7283921605617215,11.0,19,"Life, Physical, & Social Science",Q3,1
19-3022,Survey Researchers,0.4316,0.1944073778496188,0.2371926221503811,1.0,0.625,0.4504341470102383,0.5495658529897616,6.0,19,"Life, Physical, & Social Science",Q4 (high),1
19-3032,Industrial-Organizational Psychologists,0.1577,0.0367830294601213,0.1209169705398786,0.888888888888889,0.4888888888888889,0.2332468577052716,0.7667531422947285,10.0,19,"Life, Physical, & Social Science",Q3,1
19-3033,Clinical and Counseling Psychologists,0.0591,0.0125331635008656,0.0465668364991343,0.6481481481481481,0.3703703703703703,0.212067064312448,0.7879329356875518,12.0,19,"Life, Physical, & Social Science",Q2,0
19-3034,School Psychologists,0.0467,0.0099035319033913,0.0367964680966086,0.7837837837837838,0.3918918918918919,0.212067064312448,0.7879329356875518,12.0,19,"Life, Physical, & Social Science",Q2,0
19-3039,"Psychologists, All Other",0.0,0.0,0.0,0.8452380952380951,0.4543650793650793,,,3.0,19,"Life, Physical, & Social Science",Q0 (none),0
19-3041,Sociologists,0.3833,0.1558214391574837,0.2274785608425162,0.9230769230769232,0.5384615384615385,0.4065260609378651,0.5934739390621349,7.0,19,"Life, Physical, & Social Science",Q4 (high),1
19-3051,Urban and Regional Planners,0.0959,,,0.9545454545454546,0.4772727272727273,,,6.0,19,"Life, Physical, & Social Science",Q2,1
19-3091,Anthropologists and Archeologists,0.1354,0.0682994231311498,0.0671005768688501,0.8275862068965517,0.4396551724137931,0.5044270541443856,0.4955729458556143,13.0,19,"Life, Physical, & Social Science",Q3,1
19-3092,Geographers,0.1096,0.0375342465753424,0.0720657534246575,0.8333333333333333,0.4999999999999999,0.3424657534246575,0.6575342465753424,4.0,19,"Life, Physical, & Social Science",Q2,1
19-3093,Historians,0.028,0.0117681159420289,0.016231884057971,0.8421052631578947,0.4736842105263157,0.4202898550724638,0.5797101449275363,16.0,19,"Life, Physical, & Social Science",Q1 (low),0
19-3094,Political Scientists,0.452,0.1112401097332328,0.3407598902667672,0.9166666666666666,0.4791666666666666,0.2461064374629045,0.7538935625370955,7.0,19,"Life, Physical, & Social Science",Q4 (high),1
19-3099,"Social Scientists and Related Workers, All Other",0.0327,0.0133654761904761,0.0193345238095238,0.9534883720930232,0.5232558139534884,0.4087301587301587,0.5912698412698413,8.0,19,"Life, Physical, & Social Science",Q1 (low),0
19-4012,Agricultural Technicians,0.0058,0.0023593745921192,0.0034406254078807,0.6767676767676768,0.4097222222222222,0.4067887227791737,0.5932112772208263,8.0,19,"Life, Physical, & Social Science",Q1 (low),0
19-4013,Food Science Technicians,0.2038,0.0829035417023956,0.1208964582976044,0.4285714285714285,0.3571428571428571,0.4067887227791737,0.5932112772208263,8.0,19,"Life, Physical, & Social Science",Q3,1
19-4021,Biological Technicians,0.0599,0.0181822804314329,0.041717719568567,0.6333333333333333,0.4166666666666666,0.3035439137134053,0.6964560862865947,7.0,19,"Life, Physical, & Social Science",Q2,0
19-4031,Chemical Technicians,0.3148,0.1303102662042212,0.1844897337957787,0.6428571428571428,0.3928571428571428,0.4139462077643623,0.5860537922356377,7.0,19,"Life, Physical, & Social Science",Q4 (high),1
